Code,Product Name,Unit,Current Stock,Sales Scheme,,Purc.Scheme,,Cost Price,M.R.P.,Purchase Price,Sales Price,Company,Manufacturer,Rack No.,Barcode
,,,,Deal,Free,Deal,Free,,,,,,,,
10859,BAJAJ ALMOND SOAP 100GM,PCS,6,0,0,0,0,46.62,53,41.59,53,BAJAJ,,,8906014764711
10860,BAJAJ ALMOND SOAP 50G,PCS,10,0,0,0,0,21.99,25,19.62,25,BAJAJ,,,8906014764704
10862,BAJAJ AMLA OIL 160ML,PCS,12,0,0,5,1,30.31,40,30.82,40,BAJAJ,,,8906014767125
10861,BAJAJ AMLA OIL 80ML,PCS,11,0,0,5,1,15.15,20,15.41,20,BAJAJ,,,8906014767118
10858,BAJAJ SARSO AMLA 160ML,PCS,11,0,0,5,1,30.31,40,30.82,40,BAJAJ,,,8906014767231
10857,BAJAJ SARSO AMLA 80ML,PCS,11,0,0,5,1,15.15,20,15.41,20,BAJAJ,,,8906014767224
10807,BAMBINO THIN & ROASTED SEVIYAN 140G,PCS,-1,0,0,0,0,17.39,20,16.56,20,BAMBINO,,,8901242199205
10877,BAMBINO VERMICELLI 200G,PCS,16,0,0,0,0,17.59,20,16.75,20,BAMBINO,,,8901242176206
9317,BAR ONE 12G,PCS,8,0,0,0,0,4.26,5,3.8,5,NESTLE,,,89009314
7318,BAR ONE 20G,PCS,-6,0,0,0,0,8.52,10,7.6,10,NESTLE,,,8901058896701
9599,BARARI DATES,PCS,-13,0,0,0,0,0,250,90,250,COLGATE,,,4792007002823
10620,BAYGON MAX COCKROACH KILLER,PCS,4,0,0,0,0,187.63,215,159,215,BRILLON CONSUMER,,,8904271200386
10619,BAYGON MAX MOSQUITO & FLY KILLER,PCS,3,0,0,0,0,187.63,215,159,215,BRILLON CONSUMER,,,8904271200331
1333,BERRY BLAST 50ML,PCS,4,0,0,0,0,75.89,85,64.31,85,JOHNSON & JOHSONS,,,8901012189351
9749,BESAN 10K.G,PCS,-1,0,0,0,0,0,860,850,88,HINDUSTAN UNILEVER,,,VM40576
11204,BESAN LOOSE 1K.G,PCS,-12,0,0,0,0,0,88,0,88,-BLANK-,,,VK51657
